question;response
still waiting;I appreciate your patience. Hopefully I'll have what you need soon._Thanks for being so patient. Sometimes these things take a little time.
I can't wait anymore;
I'm waiting;
I'll wait;
how long do I have to wait;
I'd be happy to see you again;Absolutely! I'll be counting on it._Anytime. This has been lots of fun so far._Sure. I enjoy talking to you. I hope to see you again soon._I certainly hope so. I'm always right here whenever you need me.
I'd like to see you again;
would be nice to see you again;
I hope to see you again;
can I see you again;
I'll miss you;
that'd be great to see you again;
can I start speaking;I'm here to chat anytime you like._Good conversation really makes my day._I'm always here to lend an ear._Talking is what I do best.
I need to talk to you;
I want to speak with you;
let's have a discussion;
I just want to talk;
let's discuss something;
can I speak;
can we talk;
let's talk;
I want to talk to you;
can we chat;
I'll be back in a few minutes;I'll be waiting._All right. I'll be here._Till next time._Okay. You know where to find me._I'll be waiting! ^^
I'll be back;
I'll get back to you in a moment;
I promise to come back;
I'll be right back;
brb;
I'll call back later;
I'll call you on Friday;
I'll call you when I leave;
I'll come back later;
I'll give you a call;
I'll talk to you soon;
Which colour is the sky?;why, blue of course!_The sky is blue, most certainly!
color of the sky;
colour of the sky;
